2022-05-14 22:05:918 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:140 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:132 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:663 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:687 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:39 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (88cf29a18510aac3a9f47b9b312801be)] -> link text: Log in]
2022-05-15 11:05:821 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:311 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:456 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:929 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (77c9fc1e7aa0c11eeea5c8deeaf7a07b)] -> link text: Register]
2022-05-15 11:05:307 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:720 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (cb1d897891ed501052209d2b6faa94ec)] -> link text: Register]
2022-05-15 11:05:214 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:682 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (a58d6e43a6617d9174f22ed811bad36e)] -> link text: Register]
2022-05-15 11:05:169 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:563 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (716a34a1e443f01f5449ba6b04e40353)] -> link text: Register]
2022-05-15 11:05:868 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:163 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (91b3359186fc3df519d143ec7d8b4cc8)] -> link text: Register]
2022-05-15 11:05:111 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:84 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (b9398a74c8a5c69f241e14f855f03eb9)] -> link text: Register]
2022-05-15 11:05:117 INFO  RegisterPage :80 - Get register text[[ChromeDriver: chrome on WINDOWS (b9398a74c8a5c69f241e14f855f03eb9)] -> css selector: div[class='page-title'] h1]
2022-05-15 11:05:383 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 11:05:283 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (fcee39fb1681a75a2ded49db12075620)] -> link text: Register]
2022-05-15 11:05:322 INFO  RegisterPage :80 - Get register text[[ChromeDriver: chrome on WINDOWS (fcee39fb1681a75a2ded49db12075620)] -> css selector: div[class='page-title'] h1]
2022-05-16 11:05:163 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:67 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:49 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:841 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:731 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:158 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:19 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:680 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (cfa0f8c9318169f4e4f8380cde827b4a)] -> link text: Register]
2022-05-16 11:05:733 INFO  RegisterPage :127 - Click on register button[[ChromeDriver: chrome on WINDOWS (cfa0f8c9318169f4e4f8380cde827b4a)] -> css selector: #register-button]
2022-05-16 11:05:696 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:523 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (fc4ea7ecb4be6dc3b9c163f68643c3d2)] -> link text: Register]
2022-05-16 11:05:660 INFO  RegisterPage :95 - Enter First Name[[ChromeDriver: chrome on WINDOWS (fc4ea7ecb4be6dc3b9c163f68643c3d2)] -> id: FirstName]
2022-05-16 11:05:714 INFO  RegisterPage :100 - Enter last Name[[ChromeDriver: chrome on WINDOWS (fc4ea7ecb4be6dc3b9c163f68643c3d2)] -> id: LastName]
2022-05-16 11:05:377 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 11:05:68 INFO  HomePage :60 - Click on register link[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> link text: Register]
2022-05-16 11:05:222 INFO  RegisterPage :95 - Enter First Name[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> id: FirstName]
2022-05-16 11:05:274 INFO  RegisterPage :100 - Enter last Name[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> id: LastName]
2022-05-16 11:05:431 INFO  RegisterPage :107 - Select date of Birth[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> name: DateOfBirthDay][[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> name: DateOfBirthMonth][[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> name: DateOfBirthYear]
2022-05-16 11:05:483 INFO  RegisterPage :112 - Enter email[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> name: Email]
2022-05-16 11:05:535 INFO  RegisterPage :117 - Enter password[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> id: Password]
2022-05-16 11:05:584 INFO  RegisterPage :122 - Enter confirm password[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> id: ConfirmPassword]
2022-05-16 11:05:212 INFO  RegisterPage :127 - Click on register button[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> css selector: #register-button]
2022-05-16 11:05:239 INFO  RegisterPage :143 - Register completed text[[ChromeDriver: chrome on WINDOWS (58c1cc75b184818ba3544f81a545d27b)] -> css selector: .result]
2022-05-16 12:05:369 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 12:05:18 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> link text: Log in]
2022-05-16 12:05:80 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> id: Email]
2022-05-16 12:05:131 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> name: Password]
2022-05-16 12:05:494 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 12:05:518 INFO  LoginPage :67 - Display error message[[ChromeDriver: chrome on WINDOWS (5d800898b87da83a5093954bb0d23d3a)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 12:05:142 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 12:05:79 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> link text: Log in]
2022-05-16 12:05:150 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> id: Email]
2022-05-16 12:05:199 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> name: Password]
2022-05-16 12:05:565 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> xpath: //button[contains(text(),'Log in')]]
2022-05-16 12:05:591 INFO  LoginPage :67 - Display error message[[ChromeDriver: chrome on WINDOWS (eede98bda994c2e3f02d912792555277)] -> xpath: //div[@class='message-error validation-summary-errors']]
2022-05-16 12:05:205 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-16 12:05:897 INFO  HomePage :49 - Click on Login Link[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> link text: Log in]
2022-05-16 12:05:960 INFO  LoginPage :49 - Enter email to email field[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> id: Email]
2022-05-16 12:05:11 INFO  LoginPage :55 - Enter password to password field[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> name: Password]
2022-05-16 12:05:388 INFO  LoginPage :61 - Click on login button[[ChromeDriver: chrome on WINDOWS (b0c7b331cd849c7fe515d51d5bddebf3)] -> xpath: //button[contains(text(),'Log in')]]
